 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Ambiental e energetico      |         7 |         3 |          0 |          10
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Cultura e sociedade         |         6 |        14 |          0 |          20
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Cultura e sociedade         |         0 |         2 |          0 |           2
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Cultura e sociedade         |        20 |        19 |          0 |          39
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Cultura e sociedade         |         2 |         5 |          0 |           7
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Economico                   |        81 |        64 |          0 |         145
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Economico                   |        66 |        63 |          0 |         129
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Economico                   |        53 |        36 |          0 |          89
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Economico                   |        13 |        15 |          0 |          28
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Infraestrutura e tecnologia |         9 |        10 |          0 |          19
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Infraestrutura e tecnologia |        10 |         5 |          0 |          15
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Infraestrutura e tecnologia |        14 |        14 |          0 |          28
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Institucional e juridico    |        34 |        27 |          0 |          61
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Institucional e juridico    |        26 |        28 |          0 |          54
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Institucional e juridico    |        60 |        43 |          1 |         104
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Institucional e juridico    |        11 |        18 |          0 |          29
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Internacional               |         1 |         6 |          0 |           7
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Internacional               |         2 |         4 |          0 |           6
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Internacional               |         4 |         7 |          0 |          11
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Internacional               |         2 |         1 |          0 |           3
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Seguranca                   |         3 |         4 |          0 |           7
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Seguranca                   |        13 |        19 |          0 |          32
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Seguranca                   |        14 |        10 |          0 |          24
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Seguranca                   |         7 |        10 |          0 |          17
      2023 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Social                      |        25 |        20 |          0 |          45
      2024 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Social                      |        10 |        18 |          0 |          28
      2025 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Social                      |        61 |        46 |          0 |         107
      2026 |      220565 | ADRIANA SAUTHIER ACCORSI                            | Social                      |         9 |         9 |          0 |          18
      2023 |      121948 | ADRIANO ANTÔNIO AVELAR                              | Ambiental e energetico      |        10 |         8 |          0 |          18
      2024 |      121948 | ADRIANO ANTÔNIO AVELAR                              | Ambiental e energetico      |        23 |        14 |          0 |          37
