Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
     220591 |                       Meire Serafim |                 399 |                     1 |          0.25
      74428 |                      Mendonça Filho |                 384 |                     1 |          0.25
     220530 |                      Messias Donato |                 650 |                     1 |          0.25
     178985 |                     Miguel Lombardi |                 158 |                     1 |          0.25
     171786 |                       Miguel Ângelo |                 165 |                     1 |          0.25
     178895 |                      Misael Varella |                 114 |                     1 |          0.25
     178997 |                     Moses Rodrigues |                 317 |                     1 |          0.25
     220584 |                      Murilo Galdino |                 176 |                     1 |          0.25
     179001 |                      Márcio Biolchi |                  39 |                     1 |          0.25
     204453 |                   Natália Bonavides |                 229 |                     1 |          0.25
     220622 |                         Nely Aquino |                 131 |                     1 |          0.25
     220703 |                       Neto Carletto |                 267 |                     1 |          0.25
     178896 |                   Newton Cardoso Jr |                 278 |                     1 |          0.25
      74159 |                         Odair Cunha |                 199 |                     1 |          0.25
     204498 |                      Olival Marques |                  65 |                     1 |          0.25
     204441 |                      Otoni de Paula |                 229 |                     1 |          0.25
     204573 |                  Otto Alencar Filho |                 238 |                     1 |          0.25
     180214 |                        Pastor Diniz |                 258 |                     1 |          0.25
     160642 |                       Pastor Eurico |                 312 |                     1 |          0.25
     160517 |                      Paulo Folletto |                 484 |                     1 |          0.25
     220685 |                         Paulo Litro |                 124 |                     1 |          0.25
      74574 |                     Paulo Magalhães |                  93 |                     1 |          0.25
     171617 |                              Paulão |                 516 |                     1 |          0.25
     204395 |                        Pedro Lupion |                 263 |                     1 |          0.25
     122158 |                         Pedro Paulo |                  64 |                     1 |          0.25
     204406 |                    Pedro Westphalen |                 441 |                     1 |          0.25
     161440 |                             Pezenti |                 421 |                     1 |          0.25
     204524 |                         Pinheirinho |                 115 |                     1 |          0.25
     160601 |                 Pr. Marco Feliciano |                 264 |                     1 |          0.25
     226075 |                      Priscila Costa |                  43 |                     1 |          0.25
     221338 |       Professora Luciene Cavalcante |                 534 |                     1 |          0.25
     220586 |                        Rafael Brito |                 146 |                     1 |          0.25
     220626 |                       Rafael Simoes |                 229 |                     1 |          0.25
     204567 |                      Raimundo Costa |                 193 |                     1 |          0.25
     221378 |                      Reginete Bispo |                 227 |                     1 |          0.25
     178989 |                        Renata Abreu |                 387 |                     1 |          0.25
     153423 |                   Renilce Nicodemos |                 346 |                     1 |          0.25
      73801 |                   Renildo Calheiros |                 199 |                     1 |          0.25
     213274 |                       Ricardo Silva |                 275 |                     1 |          0.25
     220693 |                        Roberta Roma |                 171 |                     1 |          0.25
     220588 |                      Roberto Duarte |                 412 |                     1 |          0.25
     223128 |                     Rodrigo Estacho |                 127 |                     1 |          0.25
     141531 |                   Rodrigo de Castro |                 133 |                     1 |          0.25
     220644 |                      Rosangela Moro |                 460 |                     1 |          0.25
      73806 |                      Roseana Sarney |                  60 |                     1 |          0.25
     220620 |                      Rosângela Reis |                 182 |                     1 |          0.25
      74371 |                        Rubens Otoni |                 228 |                     1 |          0.25
     160635 |                        Ruy Carneiro |                 199 |                     1 |          0.25
     204416 |                           Sanderson |                 468 |                     1 |          0.25
     204387 |                      Sargento Fahur |                 336 |                     1 |          0.25
     220618 |                   Sargento Portugal |                2964 |                     1 |          0.25
     220713 |                       Saullo Vianna |                 542 |                     1 |          0.25
